,lat,long,cluster
119,60.0161372,30.409248600000005,109
120,60.01615,30.40959,109
121,60.0921616,30.496485,27
122,60.016326600000006,30.4094933,109
123,60.0145199,30.391046600000006,28
124,60.0161916,30.4094506,109
125,60.0583164,30.3371833,29
126,60.058580000000006,30.3363233,29
127,60.0163366,30.4093849,109
128,60.01606829999999,30.4095283,109
129,59.95758000000001,30.358943300000004,30
130,59.9577116,30.3590766,30
131,60.0162,30.4092666,109
132,60.01617454,30.40949089,109
133,59.98636431,30.35459077,104
134,59.9862546,30.3554761,104
135,60.0160566,30.40921,109
136,60.01080011,30.40691631,31
137,60.02169357,30.37249628,32
138,60.02160500000001,30.37288,32
139,60.016165,30.409388300000003,109
140,60.0147998,30.38977797,18
141,60.01617823,30.40939246,109
142,60.0161452,30.4094287,109
143,59.95762760000001,30.359024800000004,30
144,59.9579637,30.3592446,30
145,60.0161963,30.409335,109
146,60.01621305,30.40940553,109
147,59.98957683,30.43828246,33
148,59.9895825,30.4382834,33
149,60.0153168,30.4108714,109
150,60.0161488,30.4094426,109
151,60.0139765,30.3937893,110
152,60.01616482,30.40924732,109
153,60.05302349,30.33141707,34
154,60.03489242,30.32769257,35
155,60.01599044,30.40920851,109
156,60.0161686,30.4093005,109
157,59.9818838,30.2124705,36
158,59.9865611,30.2217627,37
159,59.9878916,30.205385,38
160,59.9879668,30.2039747,38
161,59.9424698,30.3557114,4
162,59.94983748,30.43654433,39
163,60.01454774,30.39163996,28
164,60.01619646,30.40936215,109
165,59.79936673,30.27401436,109
166,59.7987966,30.2736216,109
167,60.0161933,30.4092933,109
168,60.01575329999999,30.4089016,109
169,59.7998583,30.27411,109
170,59.8027781,30.3229401,156
171,60.016218,30.409376300000005,109
172,59.93091757,30.36296457,145
173,59.92902405,30.35644342,109
174,59.9899123,30.2469469,40
175,60.0161312,30.4093183,109
176,60.01621,30.4093982,109
177,60.0124399,30.400469300000005,110
178,59.98641888,30.354444,104
179,60.0161046,30.40927581,109
180,60.0214683,30.373075,32
181,60.01627660000001,30.4092816,109
182,60.0118193,30.378576,41
183,60.01613929999999,30.4092063,109
184,60.09551261,30.37765374,42
185,60.02272102,30.43143882,21
186,59.9314333,30.360055,203
187,60.01617660000001,30.4091016,109
188,60.09039797,30.37902268,43
189,60.01613255,30.40924195,109
190,59.98663240000001,30.3540203,104
191,60.016186,30.4092287,109
192,60.0117933,30.3786583,41
193,60.0158733,30.4092266,109
194,60.0161133,30.4095033,109
195,60.0161133,30.4095033,109
196,59.93281598,30.34841482,44
197,59.93281598,30.34841482,44
198,59.79915670000001,30.273730600000004,109
199,60.016071,30.4092151,109
200,59.98653,30.3544483,104
201,60.0162233,30.409011600000003,109
202,59.93613660000001,30.3150199,45
203,59.9314108,30.3036595,46
204,60.01334911,30.39659535,20
205,60.01600447,30.40927395,109
206,60.01429453,30.41221149,109
207,59.9388851,30.39385906,194
208,59.9896583,30.25755,47
209,60.0160733,30.4092483,109
210,59.91584320000001,30.2826881,48
211,59.91014670000001,30.2759206,49
212,60.01601280000001,30.409378600000004,109
213,59.928975,30.3563118,109
214,60.051813,30.33642,59
215,60.01592700000001,30.409991,109
216,59.94346329999999,30.323775,93
217,59.9292616,30.3569583,109
218,59.989713,30.462224,50
219,60.01592700000001,30.409991,109
220,59.9447483,30.35941,201
221,59.9435899,30.32399,93
222,60.01621329999999,30.409305,109
223,60.0426366,30.37748,51
224,60.04274746,30.37655971,51
225,60.01546759,30.41038312,109
226,59.93448649,30.34800947,44
227,59.9384027,30.3453303,121
228,59.9383389,30.3474822,172
229,59.93614506,30.32068648,52
230,60.0200777,30.4094353,109
231,60.1034176,29.9475072,53
232,60.01570329999999,30.409416600000004,109
233,60.0472816,30.3539099,54
234,59.86921829999999,30.3368916,55
235,59.8916083,30.5116066,150
236,60.0200777,30.4094353,109
237,59.800195,30.274495,109
238,60.0162314,30.4094523,109
239,60.0316868,30.4283223,109
240,59.9864984,30.3545545,104
241,60.0161379,30.409215600000003,109
242,60.0583176,30.3310455,56
243,60.0161363,30.409313,109
244,60.01150287,30.4040423,57
245,60.01811312,30.3181126,86
246,60.01810368,30.31802745,86
247,60.01332946,30.39639894,20
248,60.0162212,30.4094622,109
249,59.941415,30.366456300000007,109
250,60.0021287,30.3871148,58
251,60.0162248,30.4094435,109
252,60.0523684,30.3363214,59
253,60.0159634,30.4092243,109
254,60.0162314,30.4094523,109
255,60.0162314,30.4094523,109
256,60.0161501,30.4094781,109
257,59.941415,30.366456300000007,109
258,59.9070833,30.483961600000004,60
259,59.8926566,30.515515,114
260,59.9115594,30.4448344,109
261,59.89326510000001,30.5182,178
262,59.89355820000001,30.5190454,178
263,59.941415,30.366456300000007,109
264,60.00194691,30.38448893,61
265,60.02785536,30.4350383,64
266,60.0308649,30.4346699,120
267,60.0161433,30.409243300000004,109
268,59.911265,30.444343300000003,109
269,59.941415,30.366456300000007,109
270,59.9893613,30.3285024,62
271,59.9638701,30.279623699999995,63
272,60.027885,30.43496,64
